256.  札幌冈萨多 (コンサドーレ札幌)
257.  仙台维加泰 (ベガルタ仙台)
252.  山形蒙迪奥 (モンテディオ山形)
259.  鹿岛鹿角 (鹿島アントラーズ)
260.  水户蜀葵 (水戸ホーリーホック)
261.  浦和红钻 (浦和レッズ)
262.  大宫松鼠 (大宮アルディージャ)
263.  市原千叶联 (ジェフユナイテッド市原)
264.  柏太阳神 (柏レイソル)
265.  FC东京 (FC東京)
266.  东京绿茵1969 (東京ヴェルディ1969)
267.  川崎前锋 (川崎フロンターレ)
268.  横滨水手 (横浜F・マリノス)
269.  横滨FC (横浜FC)
270.  湘南比马 (湘南ベルマーレ)
271.  甲府风林 (ヴァンフォーレ甲府)
272.  新潟天鹅 (アルビレックス新潟)
273.  清水心跳 (清水エスパルス)
274.  磐田喜悦 (ジュビロ磐田)
275.  名古屋鲸八 (名古屋グランパスエイト)
276.  京都紫凤 (京都パープルサンガ)
277.  大阪钢巴 (ガンバ大阪)
278.  大阪樱花 (セレッソ大阪)
279.  神户胜利船 (ヴィッセル神戸)
280.  广岛三箭 (サンフレッチェ広島)
281.  福冈黄蜂 (アビスパ福岡)
282.  鸟栖砂岩 (サガン鳥栖)
283.  大分三神 (大分トリニータ)
284.  草津温泉 (ザスパ草津)
285.  大连FC (大連FC)
286.  上海FC (上海FC)
287.  四川FC (四川FC)
288.  北京FC (北京FC)
289.  城南FC (城南FC)
290.  安养FC (安養FC)
291.  水原FC (水原FC)
292.  釜山FC (釜山FC)
293.  浦项FC (浦項FC)
294.  蔚山FC (蔚山FC)
295.  香港FC (香港FC)
296.  曼谷FC (バンコクFC)
297.  吉隆坡FC (クアラルンプールFC)
298.  雅加达FC (ジャカルタFC)
299.  德黑兰FC (テヘランFC)
300.  巴格达FC (バグダットFC)
301.  利雅得FC (リヤドFC)
302.  吉达FC (ジェッダFC)
303.  科威特FC (クウェートFC)
304.  阿尔艾因FC (アルアインFC)
305.  多哈FC (ドーハFC)
306.  萨拉拉FC (サラーラFC)
307.  墨尔本FC (メルボルンFC)
308.  惠灵顿FC (ウェリントンFC)
309.  华沙FC (ワルシャワFC)
310.  布拉格FC (FCプラハ)
311.  贝尔格莱德FC (FCベオグラード)
312.  基辅FC (FCキエフ)
313.  萨格勒布FC (FCザグレブ)
314.  莫斯科FC (モスクワFC)
315.  布拉迪斯拉发FC (ブラチスラバFC)
316.  马里博尔FC (FCマリボール)
317.  因斯布鲁克FC (FCインスブルク)
318.  雅典FC (FCアテネ)
319.  特拉维夫FC (FCテルアビブ)
320.  伊斯坦布尔SC (イスタンブールSC)
321.  索非亚FC (FCソフィア)
322.  布加勒斯特FC (FCブカレスト)
323.  布达佩斯SC (ブタベストSC)
324.  都柏林FC (ダブリンFC)
325.  贝尔法斯特FC (FCベルファスト)
326.  曼彻斯特FC (マンチェスターFC)
327.  大曼彻斯特FC (GtマンチェスターFC)
328.  伦敦FC (ロンドンFC)
329.  切尔西FC (チェルシーFC)
330.  查尔顿FC (チャールトンFC)
331.  托特纳姆FC (トットナムFC)
332.  富勒姆FC (フルハムFC)
333.  利物浦FC (リバプールFC)
334.  埃弗顿FC (エバートンFC)
335.  利兹FC (リーズFC)
336.  伯明翰FC (バーミンガムFC)
337.  伯明翰AC (バーミンガムAC)
338.  南安普顿FC (FCサウザンプトン)
339.  纽卡斯尔FC (ニューカッスルFC)
340.  莱斯特SC (レスターSC)
341.  米德尔斯堡FC (ミドルスブラFC)
342.  布莱克本FC (ブラックバーンFC)
343.  博尔顿FC (ボルトンFC)
344.  狼队 (ウォルバーハンプトンFC)
345.  朴茨茅斯SC (ポーツマスSC)
346.  格拉斯哥FC (グラスゴーFC)
347.  凯尔特FC (ケルトFC)
348.  巴里FC (バリーFC)
349.  南特FC (FCナント)
350.  里昂FC (リヨンFC)
351.  里尔SC (リールSC)
352.  波尔多FC (ボルドーFC)
353.  雷恩FC (レーヌFC)
354.  巴斯蒂亚SC (SCバスティア)
355.  巴黎FC (パリFC)
356.  甘冈FC (FCギャンガン)
357.  摩纳哥AC (ACモナコ)
358.  梅斯AC (ACメツ)
359.  欧塞尔AC (ACオセール)
360.  朗斯FC (FCランス)
361.  马赛FC (FCマルセイユ)
362.  蒙贝利亚尔FC (FCモンテベリアール)
363.  蒙彼利埃SC (SCモンペリエ)
364.  阿雅克肖AC (ACアジャッシオ)
365.  斯特拉斯堡FC (FCストラスブール)
366.  尼斯SC (SCニース)
367.  勒芒FC (ル マンFC)
368.  图卢兹SC (トゥールーズSC)
